"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-81.690855,12.566334,NA,"Dactylopterus volitans"
"gbif",-44.230542,-23.109408,NA,"Dactylopterus volitans"
"gbif",-44.144081,-23.16907,NA,"Dactylopterus volitans"
"gbif",-62.990555,17.48208,NA,"Dactylopterus volitans"
"gbif",-39.181389,-17.751944,NA,"Dactylopterus volitans"
"gbif",17.312072,40.36121,NA,"Dactylopterus volitans"
"gbif",-64.978137,18.341895,NA,"Dactylopterus volitans"
"gbif",7.652152,43.780304,NA,"Dactylopterus volitans"
"gbif",-71.672745,17.914532,NA,"Dactylopterus volitans"
"gbif",-70.562675,18.216815,NA,"Dactylopterus volitans"
"gbif",-60.965848,14.756833,NA,"Dactylopterus volitans"
"gbif",-61.154659,14.655996,NA,"Dactylopterus volitans"
"gbif",6.690227,0.403352,NA,"Dactylopterus volitans"
"gbif",6.690225,0.403318,NA,"Dactylopterus volitans"
"gbif",-61.794923,12.008061,NA,"Dactylopterus volitans"
"gbif",-70.560572,18.218325,NA,"Dactylopterus volitans"
"gbif",-70.564241,18.21941,NA,"Dactylopterus volitans"
"gbif",-79.848611,15.793972,15,"Dactylopterus volitans"
"gbif",-59.602013,13.067341,NA,"Dactylopterus volitans"
"gbif",-59.584265,13.069592,NA,"Dactylopterus volitans"
"gbif",-42.833389,-22.9565,NA,"Dactylopterus volitans"
"gbif",-44.315759,-23.005735,NA,"Dactylopterus volitans"
"gbif",-60.881495,14.443092,NA,"Dactylopterus volitans"
"gbif",2.692984,39.791512,NA,"Dactylopterus volitans"
"gbif",-61.4649,15.5549,0,"Dactylopterus volitans"
"gbif",-74.527473,24.041212,NA,"Dactylopterus volitans"
"gbif",-39.6975,-19.749167,NA,"Dactylopterus volitans"
"gbif",-69.151289,12.318116,NA,"Dactylopterus volitans"
"gbif",-72.495531,40.881574,NA,"Dactylopterus volitans"
"gbif",-61.577783,47.522683,NA,"Dactylopterus volitans"
"gbif",-81.718098,12.536642,NA,"Dactylopterus volitans"
"gbif",-61.35356,16.23467,NA,"Dactylopterus volitans"
"gbif",-75.582339,10.309271,NA,"Dactylopterus volitans"
"gbif",-74.52816,24.03016,NA,"Dactylopterus volitans"
"gbif",-86.848397,20.809369,40,"Dactylopterus volitans"
"gbif",-86.896032,16.098915,NA,"Dactylopterus volitans"
"gbif",2.4393,39.529,10,"Dactylopterus volitans"
